"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U7";"ProMicro";1;"ProMicro";;;
2;"J2";"PinHeader_1x12_P2.54mm_Vertical";1;"ROWS";;;
3;"J1";"PinHeader_1x27_P2.54mm_Vertical";1;"COLUMNS";;;
4;"J8";"PinSocket_1x12_P2.54mm_Vertical";1;"BEAMSPRING PLUGBOARD ROWS";;;
5;"J11";"PinSocket_1x12_P2.54mm_Vertical";1;"DISPLAYWRITER PLUGBOARD ROWS";;;
6;"J5";"PinSocket_1x12_P2.54mm_Vertical";1;"MODEL F PLUGBOARD ROWS";;;
7;"J9";"PinSocket_1x27_P2.54mm_Vertical";1;"DISPLAYWRITER PLUGBOARD COLUMNS";;;
8;"J3";"PinSocket_1x27_P2.54mm_Vertical";1;"MODEL F PLUGBOARD COLUMNS";;;
9;"J6";"PinSocket_1x27_P2.54mm_Vertical";1;"BEAMSPRING PLUGBOARD COLUMNS";;;
10;"J10";"DIP-60_155_ELL";1;"DISPLAYWRITER PLUGBOARD CONNECTOR";;;
11;"J4";"PinHeader_1x30_P2.54mm_Horizontal";1;"MODEL F PLUGBOARD CONNECTOR";;;
12;"J7";"3..6mm_cardedge";1;"BEAMSPRING PLUGBOARD CONNECTOR";;;
13;"U1,U6";"DIP-14_W7.62mm";2;"LM339";;;
14;"R6,R5,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";3;"4K7";;;
15;"R2,R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";2;"1K";;;
16;"RN3,RN1";"R_Array_SIP5";2;"100K";;;
17;"J12";"PinHeader_2x03_P2.54mm_Vertical";1;"EXPANSION HEADER";;;
18;"RN2,RN4";"R_Array_SIP5";2;"10K";;;
19;"C3,C4,C5,C7,C8,C9,C10";"C_Disc_D3.0mm_W1.6mm_P2.50mm";7;"0U1";;;
20;"R3,R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";2;"20K";;;
21;"U2";"DIP-8_W7.62mm";1;"MCP4921-EP";;;
22;"U8,U5,U3";"DIP-16_W7.62mm";3;"74HCT595";;;
23;"C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"10U";;;
24;"H1,H2,H3,H4";"MountingHole_2.2mm_M2_Pad_Via";4;"GROUND STRAP";;;
